id,event,src_ip,dst_ip,protocol,port,size,a1,a2,a3,a4,a5,a6
85,A,151.254.20.10,113.170.196.143,TCP,21,299,0,0,1,0,1,1
86,C,151.254.20.10,113.170.196.143,TCP,21,593,0,1,1,1,1,0
87,E,151.254.20.10,113.170.196.143,TCP,21,373,0,1,1,1,1,0
88,C,99.60.20.4,198.14.130.49,UDP,53,840,0,1,0,1,0,1
89,B,99.60.20.4,198.14.130.49,UDP,53,536,1,0,1,1,0,1
90,E,99.60.20.4,198.14.130.49,UDP,53,306,1,1,1,1,1,1
91,A,198.198.102.218,81.168.221.81,UDP,68,752,0,1,0,1,0,1
92,D,198.198.102.218,81.168.221.81,UDP,68,760,0,1,1,1,1,0
93,E,198.198.102.218,81.168.221.81,UDP,68,640,1,1,1,0,0,0
94,A,232.59.90.157,214.72.195.19,TCP,53,737,0,1,0,1,0,1
95,D,232.59.90.157,214.72.195.19,TCP,53,561,0,0,0,0,0,0
96,E,232.59.90.157,214.72.195.19,TCP,53,536,1,0,1,1,0,1
97,A,51.237.98.199,249.205.254.165,TCP,22,393,0,1,0,1,0,1
98,C,51.237.98.199,249.205.254.165,TCP,22,354,0,0,0,0,0,0
99,E,51.237.98.199,249.205.254.165,TCP,22,269,0,0,0,0,0,0
100,A,28.156.10.155,226.241.164.186,TCP,22,437,1,0,0,1,1,1
101,C,28.156.10.155,226.241.164.186,TCP,22,226,1,1,1,0,0,0
102,E,28.156.10.155,226.241.164.186,TCP,22,325,0,1,1,1,1,0
103,A,89.122.236.164,224.106.208.106,TCP,22,215,0,1,1,1,1,0
104,C,89.122.236.164,224.106.208.106,TCP,22,360,0,0,1,0,1,1
105,E,89.122.236.164,224.106.208.106,TCP,22,462,1,1,1,0,0,0
106,A,96.56.3.172,198.218.76.93,UDP,53,504,0,0,1,0,1,1
107,D,96.56.3.172,198.218.76.93,UDP,53,369,0,1,1,1,1,0
108,E,96.56.3.172,198.218.76.93,UDP,53,486,0,1,1,1,1,0
109,A,140.171.24.141,28.163.80.110,TCP,21,307,1,1,1,0,0,0
110,D,140.171.24.141,28.163.80.110,TCP,21,892,0,0,0,0,0,0
111,E,140.171.24.141,28.163.80.110,TCP,21,621,1,0,0,1,1,0
112,A,12.118.203.139,239.127.6.17,UDP,53,441,1,1,1,0,0,0
113,D,12.118.203.139,239.127.6.17,UDP,53,325,1,1,0,0,1,1
114,E,12.118.203.139,239.127.6.17,UDP,53,486,1,0,1,1,0,1
115,A,87.62.72.196,38.128.56.254,UDP,68,674,0,0,1,0,1,1
116,C,87.62.72.196,38.128.56.254,UDP,68,294,1,0,0,1,1,0
117,E,87.62.72.196,38.128.56.254,UDP,68,268,1,0,1,1,0,1
118,A,237.69.123.89,25.209.35.73,UDP,67,786,1,1,0,0,1,1
119,D,237.69.123.89,25.209.35.73,UDP,67,329,0,0,0,0,0,0
120,E,237.69.123.89,25.209.35.73,UDP,67,847,1,0,0,1,1,0
121,A,213.214.38.91,208.210.246.152,TCP,443,644,1,1,1,0,0,0
122,D,213.214.38.91,208.210.246.152,TCP,443,545,1,0,0,1,1,0
123,E,213.214.38.91,208.210.246.152,TCP,443,475,1,1,0,0,1,1
124,A,157.93.119.94,210.151.1.240,TCP,21,628,1,0,1,1,0,1
125,C,157.93.119.94,210.151.1.240,TCP,21,279,0,1,1,1,1,0
126,E,157.93.119.94,210.151.1.240,TCP,21,705,0,0,0,0,0,0
127,A,74.249.33.14,154.242.140.19,UDP,161,300,0,1,1,1,1,0
128,C,74.249.33.14,154.242.140.19,UDP,161,639,0,0,1,0,1,1
129,E,74.249.33.14,154.242.140.19,UDP,161,606,0,1,0,1,0,1
130,A,169.26.158.126,155.189.72.11,UDP,68,553,1,1,1,0,0,0
131,D,169.26.158.126,155.189.72.11,UDP,68,621,0,0,1,0,1,1
132,E,169.26.158.126,155.189.72.11,UDP,68,471,1,0,1,0,0,1
133,A,120.73.176.201,103.132.201.97,TCP,53,886,0,0,0,0,0,0
134,D,120.73.176.201,103.132.201.97,TCP,53,456,0,0,1,0,1,1
135,E,120.73.176.201,103.132.201.97,TCP,53,476,0,0,1,0,1,1
136,A,41.50.193.135,173.49.7.173,UDP,67,803,1,1,1,0,0,0
137,C,41.50.193.135,173.49.7.173,UDP,67,838,0,1,0,1,0,1
138,E,41.50.193.135,173.49.7.173,UDP,67,836,0,0,0,0,0,0
139,A,147.48.210.16,72.48.62.29,UDP,53,354,1,0,1,1,0,1
140,D,147.48.210.16,72.48.62.29,UDP,53,538,0,1,0,1,0,1
141,E,147.48.210.16,72.48.62.29,UDP,53,858,0,0,0,0,0,0
142,A,134.25.123.144,172.80.176.50,TCP,22,349,1,0,0,1,1,0
143,D,134.25.123.144,172.80.176.50,TCP,22,363,1,0,1,1,0,1
144,E,134.25.123.144,172.80.176.50,TCP,22,845,0,1,1,1,1,0
145,A,135.55.118.138,138.198.73.147,TCP,25,595,1,0,1,1,0,1
146,C,135.55.118.138,138.198.73.147,TCP,25,225,1,0,0,1,1,0
147,E,135.55.118.138,138.198.73.147,TCP,25,354,0,1,1,1,1,0
148,C,126.82.218.16,169.121.189.206,UDP,53,715,1,0,0,1,1,0
149,A,126.82.218.16,169.121.189.206,UDP,53,362,0,0,0,0,0,0
150,B,126.82.218.16,169.121.189.206,UDP,53,263,1,0,1,1,0,0
151,A,198.204.147.46,45.143.101.63,TCP,53,431,0,1,1,1,1,0
152,C,198.204.147.46,45.143.101.63,TCP,53,550,1,1,0,0,1,1
153,E,198.204.147.46,45.143.101.63,TCP,53,858,1,1,0,0,1,1
154,A,180.122.197.246,5.79.231.120,TCP,21,609,0,1,1,1,1,0
155,C,180.122.197.246,5.79.231.120,TCP,21,787,0,0,1,0,1,1
156,E,180.122.197.246,5.79.231.120,TCP,21,361,0,1,0,1,0,1
157,A,72.196.25.170,39.155.155.171,UDP,67,773,1,0,1,1,0,1
158,D,72.196.25.170,39.155.155.171,UDP,67,648,0,1,1,1,1,0
159,E,72.196.25.170,39.155.155.171,UDP,67,333,0,0,1,0,1,1
160,A,12.160.30.58,55.248.156.226,TCP,443,255,1,1,1,0,0,0
161,C,12.160.30.58,55.248.156.226,TCP,443,675,0,0,1,0,1,1
162,E,12.160.30.58,55.248.156.226,TCP,443,669,0,0,1,0,1,1
163,A,169.26.98.52,13.6.8.231,UDP,68,792,1,1,0,0,1,1
164,C,169.26.98.52,13.6.8.231,UDP,68,877,1,1,1,0,0,0
165,E,169.26.98.52,13.6.8.231,UDP,68,239,0,0,1,0,1,1
166,A,174.19.5.101,248.19.202.11,TCP,80,806,0,1,1,1,1,0
167,C,174.19.5.101,248.19.202.11,TCP,80,528,0,1,1,1,1,0
168,E,174.19.5.101,248.19.202.11,TCP,80,753,0,1,1,1,1,0
169,A,128.41.195.157,129.68.225.229,UDP,161,630,1,1,0,0,1,1
170,D,128.41.195.157,129.68.225.229,UDP,161,763,0,1,1,1,1,0
171,E,128.41.195.157,129.68.225.229,UDP,161,378,0,1,1,1,1,0
172,A,230.103.33.144,185.43.191.31,UDP,161,390,1,0,0,1,1,0
173,C,230.103.33.144,185.43.191.31,UDP,161,808,1,1,1,0,0,0
174,E,230.103.33.144,185.43.191.31,UDP,161,737,1,0,1,1,1,0
175,A,111.157.55.160,123.93.131.70,TCP,25,288,0,0,0,0,0,0
176,C,111.157.55.160,123.93.131.70,TCP,25,802,1,1,1,0,0,0
177,E,111.157.55.160,123.93.131.70,TCP,25,792,1,0,0,1,1,0
178,A,131.76.96.28,57.91.113.190,TCP,80,574,1,1,1,0,0,0
179,C,131.76.96.28,57.91.113.190,TCP,80,788,1,0,1,1,0,1
180,E,131.76.96.28,57.91.113.190,TCP,80,294,0,1,0,1,0,1
181,A,87.48.183.68,108.153.21.231,TCP,25,530,1,1,0,0,1,1
182,C,87.48.183.68,108.153.21.231,TCP,25,682,1,0,0,1,1,0
183,E,87.48.183.68,108.153.21.231,TCP,25,299,0,0,0,0,0,0
184,E,204.111.86.113,182.93.18.140,TCP,443,682,1,1,1,0,0,0
185,B,204.111.86.113,182.93.18.140,TCP,443,216,1,1,0,0,1,1
186,C,204.111.86.113,182.93.18.140,TCP,443,647,1,1,1,0,0,0
187,A,93.64.62.236,162.27.25.215,UDP,161,373,0,0,1,0,1,1
188,C,93.64.62.236,162.27.25.215,UDP,161,354,0,1,1,1,1,0
189,E,93.64.62.236,162.27.25.215,UDP,161,611,1,1,0,0,1,1
190,A,225.14.37.104,126.64.123.199,UDP,53,861,1,0,0,1,1,0
191,C,225.14.37.104,126.64.123.199,UDP,53,279,0,0,0,0,0,0
192,E,225.14.37.104,126.64.123.199,UDP,53,360,0,0,0,0,0,0
193,A,211.145.99.170,25.50.182.157,UDP,67,306,0,1,0,1,0,1
194,D,211.145.99.170,25.50.182.157,UDP,67,491,1,0,0,1,1,0
195,E,211.145.99.170,25.50.182.157,UDP,67,307,1,0,1,1,0,1
196,A,171.201.124.120,153.233.15.13,TCP,22,662,0,1,1,1,1,0
197,C,171.201.124.120,153.233.15.13,TCP,22,829,1,0,1,1,0,1
198,E,171.201.124.120,153.233.15.13,TCP,22,394,0,1,0,1,0,1
199,A,162.157.231.165,199.149.50.165,TCP,53,703,0,1,1,1,1,0
200,D,162.157.231.165,199.149.50.165,TCP,53,682,1,0,1,1,0,1
